equity_multiplier,target_elasticity,achieved_elasticity,calibration_ok,price_bin,n,median_optimal_multiple,mean_p_sale,share_at_grid_bound
0.0,-0.85,-0.8499277034739068,True,Q1,81,1.1600000000000001,0.9618956710928765,0.0
0.0,-0.85,-0.8499277034739068,True,Q2,87,1.12,0.9598335726602768,0.011494252873563218
0.0,-0.85,-0.8499277034739068,True,Q3,72,1.1,0.9520925538809829,0.0
0.0,-0.85,-0.8499277034739068,True,Q4,80,0.99,0.9352762608741877,0.0125
0.0,-0.85,-0.8499277034739068,True,Q5,80,0.6,0.7044166445050217,0.3125
0.0,-0.65,-0.6501198232014793,True,Q1,81,1.3,0.9399401519646325,0.0
0.0,-0.65,-0.6501198232014793,True,Q2,87,1.2000000000000002,0.9391918129542229,0.0
0.0,-0.65,-0.6501198232014793,True,Q3,72,1.1400000000000001,0.9289674344053215,0.0
0.0,-0.65,-0.6501198232014793,True,Q4,80,1.0,0.913156420245888,0.0
0.0,-0.65,-0.6501198232014793,True,Q5,80,0.6,0.684597491422252,0.3125
0.0,-0.45,-0.45863522794045886,True,Q1,81,1.72,0.8947545990759973,0.18518518518518517
0.0,-0.45,-0.45863522794045886,True,Q2,87,1.5,0.8732542374170407,0.011494252873563218
0.0,-0.45,-0.45863522794045886,True,Q3,72,1.32,0.8662598107131836,0.0
0.0,-0.45,-0.45863522794045886,True,Q4,80,1.08,0.8546416368200684,0.0
0.0,-0.45,-0.45863522794045886,True,Q5,80,0.55,0.6316647402628839,0.3875
0.25,-0.85,-0.8501582534462546,True,Q1,81,1.08,0.983577888233424,0.0
0.25,-0.85,-0.8501582534462546,True,Q2,87,1.06,0.9761478788127044,0.011494252873563218
0.25,-0.85,-0.8501582534462546,True,Q3,72,1.08,0.9772746298732934,0.0
0.25,-0.85,-0.8501582534462546,True,Q4,80,1.03,0.9701633644016866,0.0
0.25,-0.85,-0.8501582534462546,True,Q5,80,0.78,0.7336066121706635,0.15
0.25,-0.65,-0.6499284854710696,True,Q1,81,1.12,0.9781764565363781,0.0
0.25,-0.65,-0.6499284854710696,True,Q2,87,1.1,0.9718911211348701,0.011494252873563218
0.25,-0.65,-0.6499284854710696,True,Q3,72,1.1,0.9709376455027079,0.0
0.25,-0.65,-0.6499284854710696,True,Q4,80,1.06,0.9585160190399413,0.0
0.25,-0.65,-0.6499284854710696,True,Q5,80,0.76,0.735880307133286,0.15
0.25,-0.45,-0.4492963965524543,True,Q1,81,1.2000000000000002,0.9641864682520764,0.0
0.25,-0.45,-0.4492963965524543,True,Q2,87,1.1600000000000001,0.9598909103075794,0.011494252873563218
0.25,-0.45,-0.4492963965524543,True,Q3,72,1.1600000000000001,0.9573584438481265,0.0
0.25,-0.45,-0.4492963965524543,True,Q4,80,1.09,0.9407085029197131,0.0
0.25,-0.45,-0.4492963965524543,True,Q5,80,0.72,0.7396211090498561,0.1875
0.5,-0.85,-0.8503846819108857,True,Q1,81,1.06,0.9888622948827305,0.0
0.5,-0.85,-0.8503846819108857,True,Q2,87,1.06,0.9792281759593923,0.011494252873563218
0.5,-0.85,-0.8503846819108857,True,Q3,72,1.08,0.9849237015508687,0.0
0.5,-0.85,-0.8503846819108857,True,Q4,80,1.05,0.9788506862690725,0.0
