arrivals_per_day,target_elasticity,achieved_elasticity,calibration_ok,wtp_dispersion,median_optimal_multiple,mean_p_sale,q5_p_sale,mean_days,share_at_grid_bound
20,-1.05,-1.1041537774929115,False,3.0,0.94,0.4920756944177434,0.2853972011907583,65.24404419620383,0.14
20,-0.85,-1.1041537774929115,False,3.0,0.94,0.4920756944177434,0.2853972011907583,65.24404419620383,0.14
20,-0.65,-1.1041537774929115,False,3.0,0.94,0.4920756944177434,0.2853972011907583,65.24404419620383,0.14
20,-0.45,-1.1041537774929115,False,3.0,0.94,0.4920756944177434,0.2853972011907583,65.24404419620383,0.14
40,-1.05,-1.0490657543245552,True,1.0027734374999997,1.0,0.6959584524921351,0.46450717728421365,52.061215397832,0.11
40,-0.85,-0.8491332586754379,True,2.2525,1.06,0.6520906242573489,0.42486861287559713,55.181147648144176,0.1075
40,-0.65,-0.809346569843735,False,3.0,1.07,0.6408906727981022,0.4162030123609751,55.941574064707545,0.1075
40,-0.45,-0.809346569843735,False,3.0,1.07,0.6408906727981022,0.4162030123609751,55.941574064707545,0.1075
80,-1.05,-1.050469964914436,True,0.2976123046875,1.02,0.863021892261599,0.6540613318980855,37.52136439714647,0.07
80,-0.85,-0.8502946294536256,True,0.43192871093749996,1.06,0.842648358303245,0.6413281196474158,39.8136010618607,0.0825
80,-0.65,-0.6503733757173386,True,0.79837890625,1.1400000000000001,0.8054738151887476,0.6110706472739308,43.416879080186746,0.0825
80,-0.45,-0.48036430991213025,False,3.0,1.3,0.7479010872508113,0.5565714341851737,48.270091697861474,0.1175
160,-1.05,-1.0496297356568876,True,0.1072698974609375,1.02,0.926065148202415,0.7344081691095161,28.45554764423945,0.035
160,-0.85,-0.8496257043341403,True,0.13920654296875,1.04,0.9226499831576973,0.7354967893499913,29.468928651357373,0.035
160,-0.65,-0.6500319558833966,True,0.20125488281249998,1.08,0.9150772583843172,0.7383715978375418,31.164681405981987,0.0425
160,-0.45,-0.45030975288288344,True,0.374990234375,1.1700000000000002,0.8920733055534614,0.7232053528506801,34.60828886425386,0.0475
260,-1.05,-1.0506414995918771,True,0.06438354492187501,1.04,0.9487747240654738,0.7994554063951224,24.03700768885299,0.03
260,-0.85,-0.8494770006202753,True,0.0809906005859375,1.04,0.9468327507907174,0.7969587042068647,24.82306308993577,0.03
260,-0.65,-0.6502178598831563,True,0.11073730468750001,1.06,0.9434702156953929,0.794348028656502,26.16269883281115,0.03
260,-0.45,-0.45059844449030645,True,0.18081542968749997,1.12,0.9345547429652288,0.7869274366821385,28.44860615997896,0.03
500,-1.05,-1.0497433538381906,True,0.03837799072265625,1.04,0.9648067374026255,0.8530670551927152,19.359487891801646,0.025
500,-0.85,-0.8492243814515831,True,0.046864013671874996,1.04,0.9637496490236603,0.8525285729673829,20.31662510688886,0.025
500,-0.65,-0.650545002891467,True,0.0612811279296875,1.06,0.9625298584201895,0.8526600462014258,21.43988896839283,0.025
500,-0.45,-0.45014794973796296,True,0.09212280273437501,1.1,0.9596686794590742,0.8499808456240675,23.25869965060982,0.025
1000,-1.05,-1.0508358743714663,True,0.024371490478515622,1.03,0.9768945650354314,0.9061123178247964,15.288611701498754,0.0175
1000,-0.85,-0.8494656489868941,True,0.029025115966796872,1.04,0.9769289590222118,0.9058963802827803,15.914460960691695,0.0175
1000,-0.65,-0.6493614021681752,True,0.03673553466796874,1.04,0.9757215165158177,0.9051291522459917,17.3603652239924,0.0175
1000,-0.45,-0.4498990892133861,True,0.0521563720703125,1.06,0.9742584875455276,0.9042605419152316,19.02517033674594,0.0175
